Framework,Plateau_Stop_Iteration,Saved_Iterations,Stop_Macro_F1,Stop_Tail_F1,Final_Macro_F1,Final_Tail_F1,Macro_F1_Gap_To_Final,Tail_F1_Gap_To_Final,Saved_Query_Labels,Saved_Generation_Requests,Saved_Valid_Generated,Saved_Verification_Requests,Saved_Synthetic_Accepted
Passive,40,0,0.7558180548498797,0.74807174806401,0.7558180548498797,0.74807174806401,0.0,0.0,0,0,0,0,0
Active,33,7,0.7413734691987544,0.7301182491476336,0.8008882083407206,0.7923055651516729,0.059514739141966255,0.06218731600403937,280,0,0,0,0
Generate-only,40,0,0.8793245390679114,0.8757531343534413,0.8793245390679114,0.8757531343534413,0.0,0.0,0,0,0,0,0
Generate-and-Verify,27,13,0.7928989198494483,0.7822634004596352,0.8757130920674074,0.8710783204237365,0.08281417221795917,0.08881491996410129,520,520,482,482,465
